Tmax,rep,run_t,train_ctr
21236,0,21.685225,88973
77934,1,29.720859,327875
40340,2,15.180228,169468
39070,3,14.679580,164589
15462,4,5.934805,65091
29248,5,11.046358,122453
63109,6,24.827008,264709
16975,7,6.761634,70777
36761,8,14.146763,154242
74701,9,29.438437,313768
21340,10,8.278920,89450
78780,11,31.591415,331821
95208,12,39.359916,400420
62497,13,25.614998,262432
83061,14,33.590796,348467
48700,15,19.412477,205617
16947,16,6.681706,71192
26816,17,10.431870,112117
86067,18,34.268628,362022
43241,19,17.248577,181257
19548,20,7.833545,81878
97970,21,40.152979,412140
87283,22,37.097103,366418
61322,23,25.230757,258004
57341,24,24.863998,241076
87749,25,36.248444,367434
41670,26,16.676625,175334
18872,27,7.709603,79122
14557,28,5.784533,61352
82830,29,35.673886,347758
88039,30,36.684237,369481
65054,31,26.836931,273095
76728,32,34.891652,322863
36394,33,14.986705,152874
31416,34,16.785339,131846
92200,35,37.796373,386888
33476,36,17.924164,139945
61923,37,25.451227,260661
35778,38,16.830802,150051
90026,39,37.043970,377949
33645,40,13.769068,141551
46684,41,18.826465,196279
73731,42,35.903886,310035
50175,43,23.272628,210852
86049,44,35.503911,360979
62464,45,26.571000,262013
66295,46,37.881556,277544
96412,47,42.120813,404878
91791,48,42.498155,385134
63529,49,26.534404,266803
35913,50,15.911456,150520
89362,51,39.412363,374391
59911,52,25.545620,251351
75359,53,33.400177,317167
24820,54,10.173554,104502
81389,55,34.045644,342081
15990,56,6.600433,67510
56698,57,27.129700,238409
10837,58,4.355360,45279
91493,59,38.709566,384021
82541,60,37.395707,346447
9386,61,3.978791,39486
90730,62,39.717530,381465
23672,63,9.721481,99031
96790,64,40.736108,407226
63799,65,31.682795,267778
69081,66,29.604283,290433
23654,67,10.342719,99676
36408,68,17.256539,152709
74312,69,31.094716,311750
40187,70,16.787233,168456
11681,71,4.801162,49209
26377,72,10.889644,110817
57106,73,25.821219,239831
93102,74,39.507037,389968
56745,75,24.486597,238111
32202,76,13.462883,135146
12272,77,5.025683,51468
85909,78,36.782982,360280
2443,79,3.608995,10304
21671,80,11.215438,91293
99555,81,43.345360,417306
47923,82,23.967204,201030
41547,83,17.537873,174126
27753,84,12.308397,116854
67356,85,29.276007,281858
64711,86,28.184193,270907
70564,87,30.399766,297023
69219,88,29.291930,290307
98984,89,41.505254,416365
29829,90,14.362265,124862
53001,91,23.172873,222746
54215,92,27.860014,228343
6576,93,2.779668,27604
11889,94,5.003586,49854
22612,95,9.760192,95162
36777,96,15.816110,154323
15919,97,6.585963,66526
70525,98,30.142349,295930
75110,99,31.851747,314517
